diameter,max_degree,clustering_coefficient,betweeness,closeness,page_rank,average_relationship_score,protagonist_count,antagonist_count,book,epoch,graph_file,protagonists,antagonists
11.0,67,0.0018457760980868322,0.0032156368250274184,0.1802935166087023,0.0016474464579901151,0.7629310344827587,293,140,cnotliwi,barok,cnotliwi.csv,"| Character | Score |
| --- | ---: |
| Wanda | 177.00 |
| August | 160.00 |
| Stasia | 100.00 |
| Gaczycki | 64.00 |
| Andzia | 38.00 |","| Character | Score |
| --- | ---: |
| Apolonja | -14.00 |
| Banko | -14.00 |
| Makbet | -12.00 |
| Pani Apolonja | -8.00 |
| pan Rokowicz | -7.00 |"
12.0,472,0.0008146051290869338,0.001663268493895866,0.2638971429461909,0.0008196721311475429,0.4004461795872839,472,305,don_kichot_z_la_manchy,barok,don_kichot_z_la_manchy.csv,"| Character | Score |
| --- | ---: |
| Don Kichot | 310.00 |
| Sancho | 144.00 |
| Sancho Pansa | 83.00 |
| Dorota | 74.00 |
| Zoraida | 59.00 |","| Character | Score |
| --- | ---: |
| cyrulik | -16.00 |
| ksiądz | -14.00 |
| Biskajczyk | -11.00 |
| gubernator | -9.00 |
| wieśniak | -8.00 |"
16.0,56,0.013705766413110212,0.002872267384389059,0.09635033164222864,0.0015503875968992248,-0.10013717421124829,203,202,pamietniki,barok,pamietniki.csv,"| Character | Score |
| --- | ---: |
| Romeo | 12.00 |
| Julia | 12.00 |
| narrator | 10.00 |
| król | 10.00 |
| Król JMości | 6.00 |","| Character | Score |
| --- | ---: |
| Szwedzi | -20.00 |
| Moskal | -15.00 |
| nieznany | -10.00 |
| Turcy | -10.00 |
| Chowański | -9.00 |"
11.0,26,0.005319349103006398,0.002543702220375058,0.05213310633708872,0.0025,-0.037037037037037035,99,146,pascal_mysli,barok,pascal_mysli.csv,"| Character | Score |
| --- | ---: |
| Bóg | 23.00 |
| Julia | 20.00 |
| Romeo | 18.00 |
| Jezus | 10.00 |
| Jakub | 10.00 |","| Character | Score |
| --- | ---: |
| Makbet | -14.00 |
| Banko | -14.00 |
| faryzeusze | -9.00 |
| Wokulski | -7.00 |
| Łęcka | -7.00 |"
10.0,34,0.012123290411442883,0.005011717108711378,0.10238383641290545,0.004405286343612336,-0.4066390041493776,69,87,potocki_transakcja_wojny_chocimskiej,barok,potocki_transakcja_wojny_chocimskiej.csv,"| Character | Score |
| --- | ---: |
| Jan | 9.00 |
| Jan Lipski | 4.00 |
| Lipski | 4.00 |
| Rodzice Jana | 4.00 |
| Potocki (ojciec Jana) | 4.00 |","| Character | Score |
| --- | ---: |
| Osman | -56.00 |
| Turcy | -35.00 |
| Kozacy | -19.00 |
| Chodkiewicz | -9.00 |
| Husseim | -8.00 |"
11.0,42,0.001966615696332749,0.004428935413997736,0.11372792835694893,0.0029069767441860465,-0.6363636363636364,48,155,prowincjalki,barok,prowincjalki.csv,"| Character | Score |
| --- | ---: |
| Romeo | 10.00 |
| Julia | 8.00 |
| Dziewica | 6.00 |
| Kościół | 4.00 |
| Port-Royal | 2.00 |","| Character | Score |
| --- | ---: |
| ks. de Saint-Cyran | -52.00 |
| ojcowie (jezuici) | -43.00 |
| jezuici | -20.00 |
| Arnauld | -17.00 |
| Pascal | -13.00 |"
9.0,72,0.0033155566669146774,0.003915128593932924,0.1822193575693007,0.002109704641350211,-0.0625,133,172,berent_prochno,mloda-polska-modernizm,berent_prochno.csv,"| Character | Score |
| --- | ---: |
| Romeo | 119.00 |
| Julia | 115.00 |
| narrator | 19.00 |
| Właduś | 15.00 |
| pies | 15.00 |","| Character | Score |
| --- | ---: |
| Müller | -42.00 |
| Banko | -41.00 |
| Makbet | -40.00 |
| Jelsky | -38.00 |
| ojciec | -28.00 |"
13.0,103,0.0014298968263293885,0.002018676206298932,0.14220284039243558,0.0008058017727638999,-0.14460154241645246,319,479,brzozowski_plomienie,mloda-polska-modernizm,brzozowski_plomienie.csv,"| Character | Score |
| --- | ---: |
| Romeo | 153.00 |
| Julia | 151.00 |
| Ola | 28.00 |
| Michał | 27.00 |
| narrator | 24.00 |","| Character | Score |
| --- | ---: |
| Makbet | -72.00 |
| Banko | -72.00 |
| Wokulski | -46.00 |
| Łęcka | -40.00 |
| Wroński | -27.00 |"
14.0,198,0.006358445034810709,0.0022286482286482277,0.17120401854302075,0.0009990009990009988,0.24642049736247174,418,241,alejchem_z_jarmarku,modernizm,alejchem_z_jarmarku.csv,"| Character | Score |
| --- | ---: |
| Szolem | 137.00 |
| Szmulik | 27.00 |
| Nachum Rabinowicz | 19.00 |
| Eli | 18.00 |
| Sirko | 12.00 |","| Character | Score |
| --- | ---: |
| macocha | -24.00 |
| rebe | -10.00 |
| stryj Pinie | -7.00 |
| Fruma | -6.00 |
| chłopcy | -6.00 |"
11.0,66,0.0028279215139627033,0.00235313379880951,0.16641724074329195,0.0012048192771084338,1.063157894736842,488,114,amicis_serce,modernizm,amicis_serce.csv,"| Character | Score |
| --- | ---: |
| ojciec | 165.00 |
| matka | 164.00 |
| nauczyciel | 85.00 |
| Garrone | 83.00 |
| Henryk | 73.00 |","| Character | Score |
| --- | ---: |
| Makbet | -26.00 |
| Banko | -26.00 |
| Franti | -25.00 |
| Wokulski | -11.00 |
| Łęcka | -11.00 |"
